Hà Giang,2022-10-16,09:02:00,26,Mây rải rác,50,10.0,1.68,0,Kém
Cao Bằng,2022-10-16,09:02:00,26,Mây thưa,49,10.0,4.0,0,Rất kém
Bắc Kạn,2022-10-16,09:03:00,27,Mây rải rác,47,10.0,2.27,0,Rất kém
Tuyên Quang,2022-10-16,09:03:00,26,Mây rải rác,55,10.0,1.25,3.3,Rất kém
Thái Nguyên,2022-10-16,09:03:00,25,Mây thưa,45,10.0,3.82,0,Rất kém
Lạng Sơn,2022-10-16,09:03:00,24,Mây rải rác,50,10.0,5.55,0,Rất kém
Quảng Ninh,2022-10-16,09:03:00,26,Nhiều mây,41,10.0,2.43,3.75,Rất kém
Bắc Giang,2022-10-16,09:03:00,25,Mây thưa,45,10.0,6.4,0,Rất kém
Phú Thọ,2022-10-16,09:03:00,26,Mây rải rác,59,10.0,3.23,0,Rất kém
Lào Cai,2022-10-16,09:03:00,27,Mây cụm,49,10.0,1.21,3.28,Rất kém
Điện Biên,2022-10-16,09:03:00,25,Nhiều mây,56,10.0,1.16,0,Rất kém
Lai Châu,2022-10-16,09:03:00,26,Mây cụm,55,10.0,1.27,0,Rất kém
Sơn La,2022-10-16,09:03:00,23,Mây cụm,61,10.0,0.19,3.29,Rất kém
Yên Bái,2022-10-16,09:03:00,26,Mây rải rác,60,10.0,2.27,0,Rất kém
Hoà Bình,2022-10-16,09:03:00,27,Bầu trời quang đãng,57,10.0,2.35,3.53,Rất kém
Hà Nội,2022-10-16,09:03:00,25,Bầu trời quang đãng,69,6.0,2.06,0,Rất kém
Vĩnh Phúc,2022-10-16,09:03:00,25,Mây thưa,51,10.0,2.46,0,Rất kém
Bắc Ninh,2022-10-16,09:03:00,25,Mây thưa,47,10.0,6.11,0,Rất kém
Hải Dương,2022-10-16,09:03:00,28,Mây thưa,50,10.0,6.35,0,Rất kém
Hải Phòng,2022-10-16,09:03:00,28,Bầu trời quang đãng,32,10.0,4.12,0,Rất kém
Hưng Yên,2022-10-16,09:03:00,26,Mây thưa,50,10.0,6.0,0,Rất kém
Thái Bình,2022-10-16,09:03:00,26,Mây cụm,50,10.0,7.13,0,Rất kém
Hà Nam,2022-10-16,09:03:00,26,Mây thưa,51,10.0,5.87,0,Rất kém
Nam Định,2022-10-16,09:03:00,26,Mây rải rác,51,10.0,6.9,3.62,Rất kém
Ninh Bình,2022-10-16,09:03:00,26,Mây rải rác,52,10.0,6.46,0,Rất kém
Thanh Hóa,2022-10-16,09:03:00,26,Mây thưa,55,10.0,5.37,3.61,Rất kém
Nghệ An,2022-10-16,09:03:00,26,Mây rải rác,62,10.0,4.2,3.29,Rất kém
Hà Tĩnh,2022-10-16,09:03:00,25,Mây cụm,69,10.0,4.42,0,Rất kém
Quảng Bình,2022-10-16,09:03:00,25,Nhiều mây,78,10.0,3.85,0,Rất kém
Quảng Trị,2022-10-16,09:03:00,24,Nhiều mây,85,10.0,4.28,1.01,Rất kém
Thừa Thiên Huế,2022-10-16,09:03:00,25,Mây cụm,83,8.0,1.54,0,Kém
Đà Nẵng,2022-10-16,09:03:00,27,Mây cụm,78,7.0,2.57,0,Rất kém
Quảng Nam,2022-10-16,09:03:00,25,Nhiều mây,92,6.38,1.44,0,Khá
Quảng Ngãi,2022-10-16,09:03:00,25,Nhiều mây,93,10.0,1.32,0.41,Kém
Bình Định,2022-10-16,09:03:00,27,Mây rải rác,80,10.0,3.77,0,Khá
Phú Yên,2022-10-16,09:03:00,27,Nhiều mây,73,10.0,1.11,0,Khá
Khánh Hòa,2022-10-16,09:03:00,29,Mây rải rác,68,10.0,0.27,0,Khá
Ninh Thuận,2022-10-16,09:03:00,28,Mây cụm,72,10.0,0.6,5.48,Tốt
Bình Thuận,2022-10-16,09:03:00,27,Nhiều mây,67,10.0,1.27,0,Kém
Kon Tum,2022-10-16,09:03:00,26,Mây cụm,74,10.0,1.05,0,Khá
Gia Lai,2022-10-16,09:03:00,25,Mây rải rác,79,10.0,1.86,1.83,Tốt
Đắk Lắk,2022-10-16,09:03:00,25,Nhiều mây,75,10.0,1.16,4.07,Kém
Đắk Nông,2022-10-16,09:03:00,25,Nhiều mây,75,10.0,1.16,4.07,Kém
Lâm Đồng,2022-10-16,09:03:00,25,Mây rải rác,65,10.0,1.56,5.24,Tốt
Bình Phước,2022-10-16,09:03:00,27,Mây cụm,72,10.0,0.58,0,Kém
Tây Ninh,2022-10-16,09:03:00,24,Nhiều mây,78,10.0,2.55,4.3,Kém
Bình Dương,2022-10-16,09:03:00,26,Mây thưa,83,10.0,2.57,0,Kém
Đồng Nai,2022-10-16,09:03:00,26,Mây rải rác,77,10.0,2.36,4.76,Kém
Bà Rịa - Vũng Tàu,2022-10-16,09:03:00,26,Mây rải rác,72,10.0,2.04,4.92,Kém
Hồ Chí Minh,2022-10-16,09:03:00,26,Mây thưa,83,10.0,2.57,4.76,Rất kém
Long An,2022-10-16,09:03:00,25,Mây cụm,75,10.0,2.62,4.57,Rất kém
Tiền Giang,2022-10-16,09:03:00,26,Nhiều mây,73,10.0,2.19,0,Kém
Bến Tre,2022-10-16,09:03:00,26,Nhiều mây,72,10.0,2.04,0,Kém
Trà Vinh,2022-10-16,09:03:00,26,Mây rải rác,71,10.0,2.37,0,Rất kém
Vĩnh Long,2022-10-16,09:03:00,25,Nhiều mây,72,10.0,2.79,0,Rất kém
Đồng Tháp,2022-10-16,09:03:00,25,Mây cụm,72,10.0,3.37,0,Rất kém
An Giang,2022-10-16,09:03:00,25,Mây cụm,71,10.0,3.31,4.55,Rất kém
Kiên Giang,2022-10-16,09:03:00,25,Nhiều mây,78,10.0,3.89,0,Rất kém
Cần Thơ,2022-10-16,09:03:00,25,Bầu trời quang đãng,78,10.0,2.57,0,Rất kém
Hậu Giang,2022-10-16,09:03:00,25,Mây cụm,76,10.0,3.0,0,Rất kém
Sóc Trăng,2022-10-16,09:03:00,26,Mây rải rác,74,10.0,2.56,4.67,Rất kém
Bạc Liêu,2022-10-16,09:03:00,26,Mây rải rác,76,10.0,2.85,0,Rất kém
Cà Mau,2022-10-16,09:03:00,27,Mây cụm,70,10.0,2.12,0,Rất kém
